Sample,TFRC,PTEN,ATM,LDLR,CYP2B6,PIK3C3,PLCB4,GNG10,SYNJ1,HDAC6,GSTM3,ARF6,WNT11,REL,HFE,KDR,IL2RA,VPS52,PRKCI,FDFT1,RPS9,CDC40,FURIN,LEF1,GCLC,APEH,DLG1,PDGFA,BCHE,UBE2H,UPF2,UPF3A,TRPV4,RPLP0,FMR1,HBS1L,HTATSF1,YAP1,SAP30,FDXR,SDHD,GTF2H3,DMTF1,KCNA4,PCF11,SYMPK,NLK,CBFB,SIX1,MPDZ,GLS2,SGTA,WDR4,TRAF5,RNF6,PHF3,LIPC,TRIM31,TRPC3,AAK1,FOXL2,GALNT7,SMARCA2,CBX5,ADCYAP1,FZD8,NFATC1,MDK,CALM2,PPP3CB,ROCK1,CREM,SLC9A3R2,PARD6A,PPIA,SPN,NEFL,FA2H,NCOA3,AKAP1,EFNB2,PTPRS,SS18L2,PTPN12,CECR5,DLEC1,TAF1C,MAGEC2,IRAK3,FOXK2,HTR1E,ITGA10,ADAMTS7,TP53I3,PDE7B,SEMA6B,CDC25B,PAX3,SUV39H1,FGFR3,Disease_State
GSM531291,10.95625886,9.39554168,7.807183418,9.797808373,7.212790385,8.999658898,7.395047113,10.67397858,7.831822348,8.810484211,8.033775499,7.276395576,7.372762728,7.371710288,7.244521765,7.896897183,7.763879315,9.217912164,8.091683351,9.522058867,13.73312959,9.491529244,8.289187774,8.915950191,8.67190517,10.3920436,7.487439645,7.238193207,7.371710288,8.781432443,9.183845917,9.898045541,8.977321537,12.09882937,7.163834996,7.399321525,9.554568578,10.65469544,8.889500115,9.418349001,10.47554659,8.882203528,9.25588628,7.323760954,8.406082484,9.876359864,7.937648203,12.10202821,7.795729321,9.0555069,7.218274998,8.986088376,8.530462933,7.651364163,7.548835707,9.050855836,7.35916352,7.292780928,7.35916352,7.269862647,7.227000161,7.274742503,8.985699475,8.333668446,7.230671863,7.638438465,7.980126903,8.516776962,13.23081603,10.43577216,7.283146764,7.452823799,7.269862647,7.620883299,8.204812101,8.471697346,7.347820502,7.411103257,9.226468267,7.334952642,9.789517367,7.291889159,12.02550364,9.254267608,10.42598585,7.270521442,9.026388692,10.28777584,8.357598058,7.266672503,7.441105689,8.787644245,7.983940973,8.436693227,8.420084643,8.028652012,8.894914446,7.316856146,8.480612359,8.931435417,Metastasis
GSM531292,10.51026118,8.893161261,7.786822591,9.987364245,7.233251462,8.799676831,7.416931704,10.12767053,8.622035404,9.181856397,7.555865624,7.273877027,7.309876006,7.627277885,7.315741649,7.719617545,7.641795404,9.363220877,8.474630885,9.722994083,13.62662268,9.492656375,8.231311845,9.654652169,8.578858286,11.11840352,7.449456425,7.177809601,7.186181046,8.67179584,8.546500453,8.809191881,9.044813503,12.58498032,7.217603691,7.257470123,9.340162589,10.75437504,10.24966886,8.776903875,11.00778815,8.312188063,8.81816514,7.3751664,8.256083171,8.591667762,7.993384902,11.56652272,7.823347413,7.909079776,7.267898914,8.540841717,8.52854181,7.64192579,7.635391964,9.258578306,7.422910699,7.367467871,7.619322704,7.328640571,7.187943398,7.337999869,9.035007833,8.365931124,7.154516117,11.58520102,7.939607259,8.989083705,13.01076121,9.529431034,7.439941622,9.101258731,7.545322234,7.591905699,7.887563969,7.840804339,7.432566777,7.48525298,9.481163554,7.424706854,9.306577866,7.43404551,10.84700532,9.234204518,10.70683894,7.270384938,8.582543247,7.216037144,8.762928014,7.237941015,7.392760538,10.69767582,7.669026262,7.945038502,8.682121994,7.770778011,8.767237167,7.262931633,8.628910519,9.4972725,Metastasis
GSM531293,13.15374008,8.966971178,8.037018023,10.08065269,7.1546334,8.034223035,7.518801226,10.27778391,8.12445344,8.855666306,8.668565236,7.319605022,7.565270607,7.348478553,7.207094677,8.211089716,7.280414877,8.814108495,7.989743274,9.425185823,13.8144119,9.69591812,8.914865874,10.16787457,8.573893593,10.36125187,7.500625305,7.316489439,8.359167135,8.710305997,8.547181653,9.210658098,9.585501463,12.28898579,7.213867259,7.608957179,8.875265166,11.0944835,8.294197646,8.901055588,10.23715131,8.28556103,9.916978352,7.23740609,9.229834068,8.894108687,7.882240319,11.85192727,7.783797515,9.477418171,7.212977378,8.899988656,8.369442583,7.70281481,7.633184765,8.689166601,7.500625305,7.242384501,7.444836435,7.295157808,7.200020676,7.315816428,8.76568275,8.568720408,7.228369629,7.637342095,8.782713891,8.409876942,12.78062526,10.35265961,7.383085315,7.341763624,7.925259982,7.506242502,8.436181511,7.982120779,7.269705674,7.257376867,9.158489984,7.443038915,10.20991501,7.620639128,11.09396965,9.332049505,10.41220172,7.249842594,8.862910976,7.279321459,8.466282815,7.266578859,7.380264651,11.30792482,8.530693807,8.548267011,8.478702151,7.954075762,8.535114837,7.307153839,8.269716508,9.912145049,Metastasis
GSM531294,12.64120164,8.960252041,7.949787455,9.954248397,7.152250274,9.377282634,7.647723053,9.747428682,8.002745038,8.885587842,8.081555978,7.335660657,7.916527656,7.629613302,7.18903098,7.606713315,7.43269422,8.824229858,8.599230569,10.39602859,13.39999277,9.859444027,8.434356464,9.339842993,8.49471751,10.80282051,7.576092614,7.185499934,8.592539016,8.657094314,8.873008576,8.433642076,8.608968656,12.4769243,7.172120426,7.295344457,9.234176846,11.04812432,10.92950768,9.524726202,10.94255907,8.616322009,9.578420415,7.515736959,8.749081623,8.668809927,8.248331939,11.60283594,7.719057022,7.863716149,7.245422701,8.803920035,9.097859589,7.795742564,7.533792803,9.855138067,7.198936826,7.241997038,7.358180941,7.258599601,7.225421179,7.345233946,8.848577109,8.296019271,7.160034332,7.96079927,7.985487255,8.159777355,13.24317101,9.751063199,7.548008081,7.770602535,7.536440313,7.879294558,7.721375417,7.865214851,7.185783649,7.203437542,10.05352461,8.042631425,9.146585684,7.464480505,11.4842392,9.783129063,11.05042556,7.249887733,8.745692618,7.180457333,7.843265508,7.184711199,7.351771262,10.51196584,7.97453709,7.871300976,8.450104254,7.527757952,9.050056885,7.204879688,8.982007835,9.5599381,Metastasis
GSM531295,11.42248352,9.089191096,8.231723243,11.45470551,7.211013247,8.494516689,7.443732872,10.1552819,8.292634472,9.338891007,8.615367498,7.30737163,7.517506518,7.4181023,7.202151208,7.853658586,7.311152049,8.89342243,8.148651513,9.570660721,13.33214495,9.196050405,8.296516365,9.490919787,8.605642871,9.795417981,7.537527445,7.296254124,7.261306281,8.541338962,9.569665569,10.08719622,9.389196963,12.07390105,7.219998707,7.451617696,9.741493724,11.55703235,9.765555412,8.796130386,9.939407643,8.156822967,9.514068514,7.334275149,9.181210209,8.446643305,7.893268653,11.95767076,7.851932946,9.367070286,7.141496132,8.856351679,8.492308291,7.571814328,7.53285651,9.536159301,7.429396294,7.247204514,8.106521585,7.363591707,7.552459862,7.335182822,9.317086536,8.231113902,7.204079712,9.058111072,7.673681022,8.87489785,13.55798066,9.904755563,7.385009788,7.430999059,7.468014441,7.455540674,8.26941965,7.893308705,7.295888085,7.175112475,9.978710268,7.50574872,10.49082203,7.627771,11.24612573,8.979275863,10.18515908,7.250216839,8.751784994,7.227028259,8.552666136,7.178902346,7.402547114,9.648755314,8.501873086,8.3417974,9.116858056,7.588562221,9.114258588,7.425792932,9.162394983,9.881708387,Metastasis
GSM531296,12.03110612,8.676505791,7.972251441,9.061199419,7.218199778,8.927222988,7.517336889,9.655502021,8.266368925,9.497430331,8.591010914,7.328639257,7.447403246,7.801974044,7.250718959,7.623076545,7.381084544,9.238624453,8.814794694,9.720650163,12.81112059,9.228526243,9.133486513,9.948700278,9.236421185,10.39623047,7.510837395,7.249698253,7.179990953,8.926551917,8.671264487,9.790785089,9.074646263,11.38139763,7.150681638,7.498287679,9.460371824,10.92364123,10.1366562,8.788624405,10.35859954,8.141469145,9.891613739,7.34458852,8.750352286,8.737743327,8.456499688,12.0347753,7.556707675,9.02164594,7.205707806,8.752515797,8.306428265,7.671930739,7.49639975,9.422107507,7.527025046,7.23859611,7.503212993,7.298427281,7.211119029,7.286951979,9.295653076,8.309403397,7.153020798,7.948850573,8.949958421,8.302610005,13.3616434,10.18085459,7.412695985,7.687590834,7.498835866,7.797208678,8.063103403,8.225360241,7.3639526,7.423217155,10.12268379,7.547071671,9.541614631,7.481177385,11.32635627,10.09264486,10.47379007,7.294957921,8.988383293,7.486721645,8.642740196,7.305760254,7.335056434,10.2489326,8.191970612,8.20334639,8.46752269,7.963965724,9.343710965,7.261093508,8.991986895,9.64045854,Metastasis
GSM531297,11.59375752,9.040555173,7.990667645,10.20792172,7.215073708,8.721506273,7.325465414,10.54863949,8.306888714,8.95957989,8.118424313,7.313588564,7.385649987,7.562895624,7.239948416,7.892500452,7.392293874,8.945761085,8.721775026,9.67159346,13.2310404,9.322603824,8.473815765,9.731145995,8.515207889,10.26956949,7.605957091,7.284102197,7.275046762,8.434636928,8.437725692,8.744749386,8.745873919,12.09229527,7.211820309,7.355581433,9.534588657,11.58134876,9.186424256,9.345745703,10.54602617,8.472223359,9.23443431,7.364334378,8.946917557,8.495919091,8.227240581,12.1619811,7.722664069,8.986163486,7.224614785,8.290590281,8.363737726,7.84406712,7.550585778,8.949458642,7.514142573,7.275682145,7.5326502,7.347606881,7.153898347,7.376808154,9.156403022,8.292417145,7.207872252,8.575703807,8.206232086,8.700230818,13.48092647,10.23468154,7.359951616,7.629453604,7.469858942,7.515522993,8.410957783,7.99064033,7.405594646,7.359222341,9.650088977,7.468731346,10.64597295,7.436528555,11.65767202,9.59094327,9.193099247,7.277619082,8.939196479,7.243350876,9.067022582,7.272513691,7.331835422,8.989088144,8.560217746,8.492003639,9.225454631,7.879632786,8.98370239,7.292137208,8.559918314,8.849127722,Metastasis
GSM531298,10.91458263,9.313476905,7.769747451,10.87242912,7.159736735,8.749407376,7.349337104,8.515014537,7.874679395,10.31423003,8.102122863,7.354981149,8.934111166,7.341298211,7.238148477,7.541724298,7.241274639,9.727317379,8.024476031,9.860154268,13.47242783,9.331311735,9.375222423,11.17049093,7.893770197,10.72721819,7.340496094,7.228021782,7.292484169,8.411879091,8.74143944,9.544554603,7.933714113,10.85756549,7.199451193,7.31426214,9.442253593,10.9537142,9.590456101,9.589201114,8.939543546,7.789807698,10.43942068,7.281813224,9.067783108,9.783206294,8.076112226,12.13830377,8.262999336,9.258548658,7.195097085,9.369641721,8.142753973,7.999517099,7.523552746,9.285964275,7.373593657,7.272052922,7.403598318,7.301752439,7.15894591,7.405217489,9.61308048,8.49262454,7.148518915,8.826274653,9.105652845,9.261756627,13.01315636,11.38706946,7.318992733,7.294021469,7.731406061,7.330899786,7.990568546,8.414201894,9.13935015,7.483751494,9.407068133,7.564389807,11.01276307,7.771883632,11.18202494,9.526773475,10.37013917,7.394648112,9.611109179,7.180461701,7.667170558,7.348531864,7.355788415,8.849119666,9.082526174,7.785796062,7.910346083,7.948404232,9.750417829,7.241654133,8.140405992,10.38979847,Metastasis
GSM531299,10.26696622,9.536615725,7.507281756,9.265328612,7.189434466,7.702874325,7.285711071,11.95652479,7.470846504,9.170927279,7.508836104,7.321959368,7.310068223,7.230757239,7.396495446,8.068602347,7.308904698,9.428979841,7.28886761,8.329461921,14.02249968,9.144952521,8.196549626,10.28749397,7.731395471,9.13429538,7.355989659,7.616624466,7.193686806,7.951292432,8.323505173,8.573023316,8.872902566,13.10928144,7.184797458,7.336777936,9.395208751,8.840505112,7.916171238,10.16845129,9.026790002,9.279215563,8.904914665,7.19098059,8.859394399,8.110537072,7.163577986,12.29858358,8.402584059,8.857922794,7.20325401,8.652984849,8.094871734,7.42287478,7.668567953,7.772212005,7.398683196,7.315957272,7.534375947,7.21794512,7.189731519,7.36913202,8.038860974,8.712794811,7.156648725,8.321462072,7.690259839,8.638763462,12.50607529,10.47317577,7.544421369,7.312409756,7.265335104,7.2920796,8.308184408,7.248150068,7.314770158,7.249772593,8.860864336,7.268713087,9.873918587,7.510127828,11.57519706,8.340221858,10.45568294,7.272096378,8.659774363,7.213923479,8.176896625,7.191367154,7.561772984,8.45093099,7.854670665,8.730159459,9.287687447,7.48018184,8.951271651,7.317971382,9.027113038,9.566076811,Metastasis
GSM531300,12.11905303,8.373682554,7.409098359,10.6969503,7.194206558,7.815260397,7.324892505,11.50478716,7.221277437,9.088489249,9.751242859,7.185436132,7.222441644,7.266992066,7.33049567,7.869245543,7.199406449,9.148560266,7.461911714,8.563598755,13.95983818,9.666120652,8.211250239,9.257076583,7.865212469,10.03913806,7.251946727,7.205840225,7.183173257,8.288049915,8.707511035,9.337011058,8.876196098,12.55063817,7.170489533,7.190878358,9.36986177,8.348648654,7.300168354,8.240902304,9.038591169,8.877814721,9.092602621,7.203014088,8.5558439,8.532936276,7.187709848,11.42283694,8.133982773,8.873504077,7.194776809,8.344282436,8.396068064,7.317017171,7.660031885,7.937439736,7.243353829,7.310544677,7.380618275,7.192745603,7.258921634,7.33599344,8.247865577,8.832629544,7.192191563,7.778793865,8.233468636,8.420635558,11.98038609,10.7978762,7.51393081,7.217709705,7.19803838,7.192371969,8.216416355,7.500743321,7.455801891,7.200524203,8.898231576,7.343299211,9.412246497,7.565485933,11.6714283,8.203434317,10.84808013,7.210901659,8.789979698,7.334124735,8.616754615,7.187978038,7.349263534,8.969480884,8.168596541,8.716156274,8.671900552,7.61092083,9.177444332,7.418848533,8.291553628,9.114152541,Metastasis
GSM531301,11.46532763,9.487049841,7.414138694,9.421369657,7.171467602,7.730120796,7.28080116,11.00144998,7.282946043,9.496790562,8.732281656,7.28080116,7.199052661,7.225104894,7.336710205,8.108710412,7.334553809,9.83485178,7.394567796,8.310392955,13.45058852,9.215170772,8.612486502,10.65999448,7.833455528,9.964114361,7.377243236,7.250424336,7.200801156,8.01499081,8.686883391,8.68818331,8.705276469,11.51917315,7.238666664,7.293394137,10.03043634,9.150171768,7.602345725,9.167739873,8.884325451,8.679987297,9.561390828,7.21801929,9.277468523,8.587490583,7.206289903,11.9102468,8.356242131,9.456369733,7.22307618,8.242689498,8.421552095,7.384869844,7.528768569,7.938474667,7.660037525,7.311499628,7.339579108,7.205791347,7.211027754,7.351061744,8.37879606,8.408869221,7.243527287,8.005444895,7.977241446,9.115015718,12.0411181,10.64113357,7.25959142,7.385219956,7.246144426,7.351061744,8.059607014,7.380541845,7.250315561,7.220645558,8.938536245,7.274937059,9.285974044,7.442656286,11.44805721,8.308860554,10.32564316,7.22161538,8.894514291,7.823819488,8.227198035,7.226751526,7.490483281,8.345965287,8.139375836,8.579275062,9.440665898,7.445933801,9.572173972,7.389289711,9.266523307,9.659328019,Metastasis
